web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src
"1708596369-74","https://www.imdb.com/search/title/?title_type=tv_series","24. Resident Alien","2021–","TV-14","8.1 (47K)","A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.","https://m.media-amazon.com/images/M/MV5BM2FjM2M4NWMtM2FlMi00ZTg0LTlmNzYtMTk4NDI1ZTU3ZGJlXkEyXkFqcGdeQXVyMjQ4ODcxNTM@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-75","https://www.imdb.com/search/title/?title_type=tv_series","25. Succession","2018–2023","TV-MA","8.8 (263K)","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","https://m.media-amazon.com/images/M/MV5BODY5YjA3ZDgtM2EwYy00ZGVmLWFhNWItMTMxMWRkMWFiOTlkXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-76","https://www.imdb.com/search/title/?title_type=tv_series","26. The Boys","2019–","TV-MA","8.7 (633K)","A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.","https://m.media-amazon.com/images/M/MV5BZGUyNzM0M2EtMjA1Zi00MWJhLWI2ZWEtNzE3OTgyMTBkN2IzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-77","https://www.imdb.com/search/title/?title_type=tv_series","27. Tokyo Vice","2022–","TV-MA","8.0 (37K)","A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.","https://m.media-amazon.com/images/M/MV5BYzFhZWFkMjgtMWJhZC00Zjg1LTk0Y2QtMGY5ZjUyMmNmNmEyXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-78","https://www.imdb.com/search/title/?title_type=tv_series","28. Law & Order: Special Victims Unit","1999–","TV-14","8.1 (122K)","This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes.","https://m.media-amazon.com/images/M/MV5BMjU2OWExZTAtMzg0My00NjFjLThiM2YtNmI1Y2RkY2M0ZGVkXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-79","https://www.imdb.com/search/title/?title_type=tv_series","29. The New Look","2024–","TV-MA","7.1 (1.1K)","Explores the rise of fashion designer Christian Dior, as he dethrones Coco Chanel and helps return spirit and life to the world with his iconic imprint of beauty and influence.","https://m.media-amazon.com/images/M/MV5BZTQxNzRmMTAtMzkzOC00YjhhLThkNWQtN2M1Mjg3OTA4OWZjXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
"1708596369-80","https://www.imdb.com/search/title/?title_type=tv_series","30. Percy Jackson and the Olympians","2023–","TV-PG","7.2 (30K)","Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.","https://m.media-amazon.com/images/M/MV5BMTYyNGUyNWMtMWFlMy00NThiLTk3YjItMWE2MzMzNmQwZTU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-81","https://www.imdb.com/search/title/?title_type=tv_series","31. Avatar: The Last Airbender","2024–","TV-14","8.5 (66)","A young boy known as the Avatar must master the four elemental powers to save the world, and fight against an enemy bent on stopping him.","https://m.media-amazon.com/images/M/MV5BMTViNTY2MjMtYmUwOC00ZGYxLThjOWEtYjNjZWU3MTYwYzZmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY207_CR13,0,140,207_.jpg"
"1708596369-82","https://www.imdb.com/search/title/?title_type=tv_series","32. A Killer Paradox","2024–","18+","7.3 (2.6K)","When one accidental killing leads to another, an ordinary young man finds himself stuck in an endless cat-and-mouse chase with a shrewd detective.","https://m.media-amazon.com/images/M/MV5BZjZhM2IyZTktNjFiZS00NWFlLTg0NzMtMzIxZTcxNjRkOGE4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX140_CR0,0,140,207_.jpg"
"1708596369-83","https://www.imdb.com/search/title/?title_type=tv_series","33. Expats","2023–2024","TV-MA","5.9 (3.4K)","A look at the personal and professional lives of a tight-knit group of expatriates living in Hong Kong.","https://m.media-amazon.com/images/M/MV5BZGIxOTAyYzMtZGFlZi00OWFlLWE0YTItYTNjMTVkYTU0YjE0XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg"
