web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src,link,link-href,length,episodes,episodes-href,seasons
"1708776669-1","https://www.imdb.com/search/title/?title_type=tv_series","The Rehearsal","2022–","TV-MA","8.5","Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.","https://m.media-amazon.com/images/M/MV5BNGI3ZTgwMzItMTA0ZC00NTFhLTkzNTQtMDBkMDc2NmVmY2NkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX190_CR0,0,190,281_.jpg","1250. The Rehearsal","https://www.imdb.com/title/tt10802170/?ref_=sr_t_1250","30m","Episodes7","https://www.imdb.com/title/tt10802170/episodes?ref_=tt_eps_sm","2"
"1708776675-2","https://www.imdb.com/search/title/?title_type=tv_series","The Magnificent Century","2011–2014","","6.9","From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigetvár"".","https://m.media-amazon.com/images/M/MV5BMTMxNjYzNTg0M15BMl5BanBnXkFtZTcwNzY1MzIxNg@@._V1_QL75_UY281_CR15,0,190,281_.jpg","1249. The Magnificent Century","https://www.imdb.com/title/tt1848220/?ref_=sr_t_1249","","Episodes139","https://www.imdb.com/title/tt1848220/episodes?ref_=tt_eps_sm","4"
"1708776681-3","https://www.imdb.com/search/title/?title_type=tv_series","Spidey and His Amazing Friends","2021–","TV-Y7","5.8","Follow Peter Parker, Gwen Stacy, and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel, and Black Panther to take down foes like Rhino, Doc Oock, and Green Goblin.","https://m.media-amazon.com/images/M/MV5BMGE1NzQ1NzYtNWY5OC00OTQxLWFiZTAtZDNkNmVhNDk3NDgzXkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_QL75_UX190_CR0,2,190,281_.jpg","1248. Spidey and His Amazing Friends","https://www.imdb.com/title/tt10862280/?ref_=sr_t_1248","22m","Episodes93","https://www.imdb.com/title/tt10862280/episodes?ref_=tt_eps_sm","Unknown"
"1708776687-4","https://www.imdb.com/search/title/?title_type=tv_series","Everything Sucks!","2018","TV-14","7.5","In 1990s Oregon, members of a high school A/V club clash with the drama club.","https://m.media-amazon.com/images/M/MV5BY2IwOTRkYjctYmNhYS00NThlLThkZGEtZDQ1Y2IwZDlmZTBmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","1247. Everything Sucks!","https://www.imdb.com/title/tt7078710/?ref_=sr_t_1247","30m","Episodes10","https://www.imdb.com/title/tt7078710/episodes?ref_=tt_eps_sm","1"
"1708776693-5","https://www.imdb.com/search/title/?title_type=tv_series","iCarly","2021–2023","TV-PG","6.7","A group of best friends creating a webcast while grappling with everyday problems and adventures.","https://m.media-amazon.com/images/M/MV5BY2FlYzMyZmUtNzFkMy00N2UxLTg2YjItN2RiZWQyOTUyZDI4XkEyXkFqcGdeQXVyMTMzOTQyOTk1._V1_QL75_UX190_CR0,6,190,281_.jpg","1246. iCarly","https://www.imdb.com/title/tt13657062/?ref_=sr_t_1246","26m","Episodes34","https://www.imdb.com/title/tt13657062/episodes?ref_=tt_eps_sm","3"
"1708776698-6","https://www.imdb.com/search/title/?title_type=tv_series","Homecoming","2018–2020","TV-MA","7.4","An anthology series centered around the mysterious Geist Group, an unconventional wellness company and their equally unorthodox program, the Homecoming Initiative.","https://m.media-amazon.com/images/M/MV5BMDc5OTgyMDYtZjk2YS00YzVkLWE5N2ItNjU4MzQ1OTgyMWI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1245. Homecoming","https://www.imdb.com/title/tt7008682/?ref_=sr_t_1245","30m","Episodes17","https://www.imdb.com/title/tt7008682/episodes?ref_=tt_eps_sm","2"
"1708776705-7","https://www.imdb.com/search/title/?title_type=tv_series","Sword Art Online","2012–","TV-14","7.5","In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.","https://m.media-amazon.com/images/M/MV5BYjY4MDU2YjMtNzY1MC00ODg1LWIwMzYtMWE5YTA3YTI4ZjMxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR6,0,190,281_.jpg","1244. Sword Art Online","https://www.imdb.com/title/tt2250192/?ref_=sr_t_1244","24m","Episodes100","https://www.imdb.com/title/tt2250192/episodes?ref_=tt_eps_sm","4"
"1708776710-8","https://www.imdb.com/search/title/?title_type=tv_series","Dirk Gently's Holistic Detective Agency","2016–2017","TV-14","8.2","Holistic detective Dirk Gently investigates cases involving the supernatural.","https://m.media-amazon.com/images/M/MV5BMTU3MDkzNzM5NF5BMl5BanBnXkFtZTgwMzEyNTgyMDI@._V1_QL75_UY281_CR1,0,190,281_.jpg","1243. Dirk Gently's Holistic Detective Agency","https://www.imdb.com/title/tt4047038/?ref_=sr_t_1243","1h","Episodes18","https://www.imdb.com/title/tt4047038/episodes?ref_=tt_eps_sm","2"
"1708776716-9","https://www.imdb.com/search/title/?title_type=tv_series","The Dangers in My Heart","2023–","TV-14","7.9","Fascinated by the macabre, Kyotaro fantasizes about acting on his twisted thoughts to the detriment of his classmates. His heart was dark until an encounter with Anna lit a spark within it in a classic tale of boy meets girl.","https://m.media-amazon.com/images/M/MV5BNjhlZDRhNWQtMjU5YS00NzgxLTkwM2QtNWRhMDhhODJlZTkzXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg","1242. The Dangers in My Heart","https://www.imdb.com/title/tt21423786/?ref_=sr_t_1242","23m","Episodes22","https://www.imdb.com/title/tt21423786/episodes?ref_=tt_eps_sm","2"
"1708776721-10","https://www.imdb.com/search/title/?title_type=tv_series","RuPaul's Drag Race UK vs the World","2022–","TV-14","7.0","Renowned queens from different Drag Race franchises compete in an international arena showcasing their country's finest drag in their bid to become the ultimate Drag Race Superstar.","https://m.media-amazon.com/images/M/MV5BM2E0MGFjZTctOWRiYi00ZDY1LWJkODItMTdjMWE2MjhlNGMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg","1241. RuPaul's Drag Race UK vs the World","https://www.imdb.com/title/tt16968320/?ref_=sr_t_1241","1h 10m","Episodes14","https://www.imdb.com/title/tt16968320/episodes?ref_=tt_eps_sm","2"
"1708776727-11","https://www.imdb.com/search/title/?title_type=tv_series","Secret City","2016–2019","TV-MA","7.4","Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.","https://m.media-amazon.com/images/M/MV5BNjMwM2U1NDQtODBjOS00NDAxLWE0ZjMtZTRkNWQwZTFhZmRmXkEyXkFqcGdeQXVyNDA2Mzc0NjQ@._V1_QL75_UY281_CR4,0,190,281_.jpg","1240. Secret City","https://www.imdb.com/title/tt4976512/?ref_=sr_t_1240","49m","Episodes12","https://www.imdb.com/title/tt4976512/episodes?ref_=tt_eps_sm","2"
"1708776733-12","https://www.imdb.com/search/title/?title_type=tv_series","Absolutely Fabulous","1992–2012","TV-14","8.2","The wild misadventures of Edina ""Eddy"" Monsoon and her best friend Patsy Stone, who live in a nearly constant haze of drugged, drunken selfishness.","https://m.media-amazon.com/images/M/MV5BZTQ0MjQzMmEtYjE2My00ZTc4LWI3Y2YtMjg1N2NlOGI1ZjAzXkEyXkFqcGdeQXVyNjc4NTExMTk@._V1_QL75_UY281_CR5,0,190,281_.jpg","1239. Absolutely Fabulous","https://www.imdb.com/title/tt0105929/?ref_=sr_t_1239","45m","Episodes39","https://www.imdb.com/title/tt0105929/episodes?ref_=tt_eps_sm","6"
"1708776739-13","https://www.imdb.com/search/title/?title_type=tv_series","Broad City","2014–2019","TV-14","8.4","Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.","https://m.media-amazon.com/images/M/MV5BNTVjMGFhMmUtMTMwMS00OTE0LTlkODgtMzU0ZDZhY2U1NTliXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_QL75_UX190_CR0,5,190,281_.jpg","1238. Broad City","https://www.imdb.com/title/tt2578560/?ref_=sr_t_1238","22m","Episodes50","https://www.imdb.com/title/tt2578560/episodes?ref_=tt_eps_sm","5"
"1708776745-14","https://www.imdb.com/search/title/?title_type=tv_series","The Man from U.N.C.L.E.","1964–1968","TV-PG","7.7","The two top Agents of the United Network Command for Law and Enforcement (U.N.C.L.E.) fight the enemies of peace, particularly the forces of T.H.R.U.S.H.","https://m.media-amazon.com/images/M/MV5BODQ0YWY1Y2UtZDRhOS00NDE0LTk2NTAtM2NkMjUwMTBhZDBjXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_QL75_UY281_CR6,0,190,281_.jpg","1237. The Man from U.N.C.L.E.","https://www.imdb.com/title/tt0057765/?ref_=sr_t_1237","50m","Episodes105","https://www.imdb.com/title/tt0057765/episodes?ref_=tt_eps_sm","4"
"1708776750-15","https://www.imdb.com/search/title/?title_type=tv_series","Heavenly Delusion","2023","TV-MA","8.0","A boy grows up behind the safe walls of an apocalyptic Japan full of monsters. Tokyo flourishes as a paradise, while outside the walls of hell dangers lurk. However, a small group searches for heaven.","https://m.media-amazon.com/images/M/MV5BMjQ3NGE5NzItM2RlMi00YWE5LWJlOTAtYWRkMWRiY2Y0NmQ3XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR4,0,190,281_.jpg","1236. Heavenly Delusion","https://www.imdb.com/title/tt22817632/?ref_=sr_t_1236","24m","Episodes13","https://www.imdb.com/title/tt22817632/episodes?ref_=tt_eps_sm","1"
"1708776756-16","https://www.imdb.com/search/title/?title_type=tv_series","V","1984–1985","TV-PG","7.3","A year after Liberation Day, courtesy of the red-dust bacteria, the humanoid, lizard-like aliens develop a resistance to the micro-organism and try to regain control of the Earth--only now, some humans are knowingly working with them.","https://m.media-amazon.com/images/M/MV5BMjE5NDU4NzMwMF5BMl5BanBnXkFtZTgwOTM3NDI1MDE@._V1_QL75_UY281_CR4,0,190,281_.jpg","1235. V","https://www.imdb.com/title/tt0086822/?ref_=sr_t_1235","1h","Episodes19","https://www.imdb.com/title/tt0086822/episodes?ref_=tt_eps_sm","1"
"1708776762-17","https://www.imdb.com/search/title/?title_type=tv_series","Castlevania: Nocturne","2023–","TV-MA","7.4","During the French Revolution, vampire hunter prodigy Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire.","https://m.media-amazon.com/images/M/MV5BN2M1OTVmZGYtYWNiZi00MmEyLWJkNDEtZDc3NzdmMTUxMDhlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX190_CR0,0,190,281_.jpg","1234. Castlevania: Nocturne","https://www.imdb.com/title/tt14833612/?ref_=sr_t_1234","30m","Episodes8","https://www.imdb.com/title/tt14833612/episodes?ref_=tt_eps_sm","1"
"1708776768-18","https://www.imdb.com/search/title/?title_type=tv_series","Cowboy Bebop","2021","TV-MA","6.7","A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world--for the right price.","https://m.media-amazon.com/images/M/MV5BM2FiZmEzOGItODI3Ni00MDk2LWJhZWQtNGM2ODhlMWMzODZhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UY281_CR18,0,190,281_.jpg","1233. Cowboy Bebop","https://www.imdb.com/title/tt1267295/?ref_=sr_t_1233","58m","Episodes10","https://www.imdb.com/title/tt1267295/episodes?ref_=tt_eps_sm","1"
"1708776774-19","https://www.imdb.com/search/title/?title_type=tv_series","The Curious Case of Natalia Grace","2023–2024","TV-14","6.8","This docuseries offers extraordinary access and exclusive insight into a world-renowned mystery. Initially assumed to be a 6-year-old Ukrainian orphan with a rare bone growth disorder she was actually a fully grown adult.","https://m.media-amazon.com/images/M/MV5BMjM0ZjZhYzktOWIyYy00MmYwLWExOTAtMzVhM2JhZWNkMzVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg","1232. The Curious Case of Natalia Grace","https://www.imdb.com/title/tt27896931/?ref_=sr_t_1232","42m","Episodes12","https://www.imdb.com/title/tt27896931/episodes?ref_=tt_eps_sm","2"
"1708776780-20","https://www.imdb.com/search/title/?title_type=tv_series","The Spanish Princess","2019–2020","TV-MA","6.9","Spanish princess Catherine of Aragon navigates the royal lineage of England with an eye on the throne.","https://m.media-amazon.com/images/M/MV5BZWQwNzYyYjItZGQ3OC00ZWJkLWE2Y2UtZjE2NWZjZGU5N2QyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg","1231. The Spanish Princess","https://www.imdb.com/title/tt8417308/?ref_=sr_t_1231","55m","Episodes16","https://www.imdb.com/title/tt8417308/episodes?ref_=tt_eps_sm","2"
"1708776786-21","https://www.imdb.com/search/title/?title_type=tv_series","Agatha Raisin","2014–","TV-14","7.2","The Cotswolds-based PR guru turned amateur sleuth returns for a series of comedic murder-mysteries based on the books by M.C. Beaton.","https://m.media-amazon.com/images/M/MV5BMGI4ZmUwMGItZGJkYi00MGEyLTg2MGUtOWQ0Y2Y5N2M1MzgwXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UY281_CR5,0,190,281_.jpg","1230. Agatha Raisin","https://www.imdb.com/title/tt5015548/?ref_=sr_t_1230","1h","Episodes20","https://www.imdb.com/title/tt5015548/episodes?ref_=tt_eps_sm","4"
"1708776792-22","https://www.imdb.com/search/title/?title_type=tv_series","Pushing Daisies","2007–2009","TV-PG","8.4","A pastry chef with the power to bring dead people back to life solves murder mysteries with his resurrected childhood sweetheart, a cynical private investigator, and a lovesick waitress.","https://m.media-amazon.com/images/M/MV5BMTY3ODYxNjU1Nl5BMl5BanBnXkFtZTcwMTI0MTU1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1229. Pushing Daisies","https://www.imdb.com/title/tt0925266/?ref_=sr_t_1229","44m","Episodes22","https://www.imdb.com/title/tt0925266/episodes?ref_=tt_eps_sm","2"
"1708776798-23","https://www.imdb.com/search/title/?title_type=tv_series","Switched at Birth","2011–2017","TV-14","7.7","Two teenage girls' lives are turned upside down when they find out they were switched at birth.","https://m.media-amazon.com/images/M/MV5BMWJjNWQ4NzItYTk5OC00OTNhLWFiMzAtYTJlOWJkYmNhYzI4XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UX190_CR0,2,190,281_.jpg","1228. Switched at Birth","https://www.imdb.com/title/tt1758772/?ref_=sr_t_1228","1h","Episodes105","https://www.imdb.com/title/tt1758772/episodes?ref_=tt_eps_sm","Unknown"
"1708776804-24","https://www.imdb.com/search/title/?title_type=tv_series","Suspicion","2022","TV-MA","6.2","Five ordinary Brits are accused of kidnapping the son of a prominent U.S. media mogul. They embark on a desperate race against time to prove their innocence, but will anyone believe them - and are they telling the truth?","https://m.media-amazon.com/images/M/MV5BZmJlYmQzZDAtMDJiOS00ZWE0LWEzZjAtMGE0YmY4MDViMjI2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1227. Suspicion","https://www.imdb.com/title/tt12026710/?ref_=sr_t_1227","46m","Episodes8","https://www.imdb.com/title/tt12026710/episodes?ref_=tt_eps_sm","1"
"1708776809-25","https://www.imdb.com/search/title/?title_type=tv_series","The Office: Superfan Episodes","2020–","TV-14","9.3","The original office with new bonus footage that was cut for run time on tv originally.","https://m.media-amazon.com/images/M/MV5BNWFjYTg5YzUtZTJjZC00MzEzLWJhZjktMTM3Mzg5OTQwOTU5XkEyXkFqcGdeQXVyMTY1NDAwMjAx._V1_QL75_UY281_CR155,0,190,281_.jpg","1226. The Office: Superfan Episodes","https://www.imdb.com/title/tt27738382/?ref_=sr_t_1226","30m","Episodes63","https://www.imdb.com/title/tt27738382/episodes?ref_=tt_eps_sm","7"
"1708776815-26","https://www.imdb.com/search/title/?title_type=tv_series","Prodigal Son","2019–2021","TV-14","7.7","Malcolm Bright, a former FBI profiler, is the son of a serial killer and suspects that he himself might become a sociopath. He solves crimes for the NYPD as a form of absolution for his upbringing.","https://m.media-amazon.com/images/M/MV5BMDU4MGRlYzctMzk5ZC00NWE0LWJhN2ItMWQ2OWJiODAyYmM3XkEyXkFqcGdeQXVyODU4NjY3NDA@._V1_QL75_UX190_CR0,2,190,281_.jpg","1225. Prodigal Son","https://www.imdb.com/title/tt10327354/?ref_=sr_t_1225","44m","Episodes33","https://www.imdb.com/title/tt10327354/episodes?ref_=tt_eps_sm","2"
"1708776821-27","https://www.imdb.com/search/title/?title_type=tv_series","Cardinal","2017–2020","TV-MA","7.8","Detectives John Cardinal and Lise Delorme investigate the murder of a young girl, while Cardinal struggles to right past wrongs that could derail the investigation and end his career, as the case grows more violent and twisted.","https://m.media-amazon.com/images/M/MV5BM2EyMzQyYmYtOWYxNy00M2RjLTg4YmQtNDUyMzgzMDA3ZmQyXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UY281_CR4,0,190,281_.jpg","1224. Cardinal","https://www.imdb.com/title/tt5583512/?ref_=sr_t_1224","42m","Episodes24","https://www.imdb.com/title/tt5583512/episodes?ref_=tt_eps_sm","4"
"1708776827-28","https://www.imdb.com/search/title/?title_type=tv_series","Revolution","2012–2014","TV-14","6.6","Fifteen years after a permanent global blackout, a group of revolutionaries seek to drive out a tyrannical militia that's taken over the former United States of America.","https://m.media-amazon.com/images/M/MV5BNTQ0YTIxZmUtMTVmZC00MzgxLThmYTItMDdlZjg5YmU2NzM0XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_QL75_UX190_CR0,2,190,281_.jpg","1223. Revolution","https://www.imdb.com/title/tt2070791/?ref_=sr_t_1223","43m","Episodes42","https://www.imdb.com/title/tt2070791/episodes?ref_=tt_eps_sm","2"
"1708776835-29","https://www.imdb.com/search/title/?title_type=tv_series","Jericho","2006–2008","TV-14","7.9","A small town in Kansas is literally left in the dark after seeing a mushroom cloud over nearby Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive.","https://m.media-amazon.com/images/M/MV5BNGIyOWJlYTQtZjE4Zi00ZDFiLTkxYzktZmUwY2QxOGI0YTQxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR9,0,190,281_.jpg","1222. Jericho","https://www.imdb.com/title/tt0805663/?ref_=sr_t_1222","45m","Episodes30","https://www.imdb.com/title/tt0805663/episodes?ref_=tt_eps_sm","2"
"1708776841-30","https://www.imdb.com/search/title/?title_type=tv_series","Dragon Ball Super","2015–2018","TV-PG","8.3","Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger.","https://m.media-amazon.com/images/M/MV5BY2I2MzI1ODYtMWRlOS00MzdhLWEyOWEtYWJhNmFiZTIxMGJhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_QL75_UX190_CR0,2,190,281_.jpg","1221. Dragon Ball Super","https://www.imdb.com/title/tt4644488/?ref_=sr_t_1221","24m","Episodes131","https://www.imdb.com/title/tt4644488/episodes?ref_=tt_eps_sm","1"
"1708776846-31","https://www.imdb.com/search/title/?title_type=tv_series","Mouse","2021","","8.7","Jung Ba-Reum is a rookie police officer. He is an honest person and tries to attain justice. After Ba-Reum faces a psychopath murderer, who places the entire nation in fear, his life is totally changed.","https://m.media-amazon.com/images/M/MV5BMWFhN2M4MzAtOGUxYi00YzVhLWI0NDUtMzQ0MTFjMGU2NGIwXkEyXkFqcGdeQXVyNDU4MDQ0MjM@._V1_QL75_UY281_CR4,0,190,281_.jpg","1220. Mouse","https://www.imdb.com/title/tt13634792/?ref_=sr_t_1220","","Episodes22","https://www.imdb.com/title/tt13634792/episodes?ref_=tt_eps_sm","1"
"1708776852-32","https://www.imdb.com/search/title/?title_type=tv_series","Auf Wiedersehen, Pet","1983–2004","","8.5","Seven British construction workers escape Britain's ever-growing dole queues and travel to Germany to work on a site in Düsseldorf. Follow their trials and tribulations of working away from home and away from the women they left behind.","https://m.media-amazon.com/images/M/MV5BZjFkMjNmYTAtZDIzMy00ZDVlLWEwZDctOWNjODg1YjdlNTRhXkEyXkFqcGdeQXVyMzk5OTkyNDE@._V1_QL75_UY281_CR1,0,190,281_.jpg","1219. Auf Wiedersehen, Pet","https://www.imdb.com/title/tt0086665/?ref_=sr_t_1219","","Episodes40","https://www.imdb.com/title/tt0086665/episodes?ref_=tt_eps_sm","5"
"1708776859-33","https://www.imdb.com/search/title/?title_type=tv_series","Another Life","2019–2021","TV-MA","5.3","Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.","https://m.media-amazon.com/images/M/MV5BMTNjOWNhYTQtNWEzOS00M2Q4LWEyOWMtZjU3ZjhhMTBmMWZjXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg","1218. Another Life","https://www.imdb.com/title/tt8369840/?ref_=sr_t_1218","43m","Episodes20","https://www.imdb.com/title/tt8369840/episodes?ref_=tt_eps_sm","2"
"1708776865-34","https://www.imdb.com/search/title/?title_type=tv_series","Vis a vis","2015–2019","TV-MA","8.1","She broke the law for the boss she fell in love with. Now this naive girl has to pay the price.","https://m.media-amazon.com/images/M/MV5BM2MyNjFhZGYtMmI1ZC00Nzk0LWIwZjktMzMxZTk1YTQ2NWNhXkEyXkFqcGdeQXVyNDQ4NTM2ODE@._V1_QL75_UY281_CR6,0,190,281_.jpg","1217. Vis a vis","https://www.imdb.com/title/tt4524056/?ref_=sr_t_1217","53m","Episodes51","https://www.imdb.com/title/tt4524056/episodes?ref_=tt_eps_sm","4"
"1708776870-35","https://www.imdb.com/search/title/?title_type=tv_series","The Walking Dead: World Beyond","2020–2021","TV-MA","4.5","The series will focus on the first generation to grow up during the zombie apocalypse.","https://m.media-amazon.com/images/M/MV5BODEzZjAwOGMtMWZkZC00Nzg1LTlmNDUtNDU5NDA5YmViOTMwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1216. The Walking Dead: World Beyond","https://www.imdb.com/title/tt10148174/?ref_=sr_t_1216","1h","Episodes20","https://www.imdb.com/title/tt10148174/episodes?ref_=tt_eps_sm","2"
"1708776877-36","https://www.imdb.com/search/title/?title_type=tv_series","Dark Matter","2024–","","","A man is abducted into an alternate version of his life. Amid the mind-bending landscape of lives he could've lived, he embarks on a harrowing journey to get back to his true family and save them from a most terrifying foe: himself.","https://m.media-amazon.com/images/M/MV5BZTMzYzgxYjMtMjRmYi00ZTFhLTk1NjMtYTM4NGZjZjMxMTVmXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_QL75_UX190_CR0,2,190,281_.jpg","1215. Dark Matter","https://www.imdb.com/title/tt19231492/?ref_=sr_t_1215","","Episodes9","https://www.imdb.com/title/tt19231492/episodes?ref_=tt_eps_sm","1"
"1708776883-37","https://www.imdb.com/search/title/?title_type=tv_series","Life on Mars","2006–2007","TV-14","8.4","After a near-fatal car accident, smart, savvy, sharp-suited detective Sam is mysteriously transported back to 1973. Confused by his new surroundings, Sam tries to return to the present, but the police force of long ago needs his help.","https://m.media-amazon.com/images/M/MV5BZTY4Zjg2YzQtNGNjNC00YjdhLWE3OTMtYTM3YjRmNjBkZDE0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR1,0,190,281_.jpg","1214. Life on Mars","https://www.imdb.com/title/tt0478942/?ref_=sr_t_1214","15h 59m","Episodes16","https://www.imdb.com/title/tt0478942/episodes?ref_=tt_eps_sm","2"
"1708776888-38","https://www.imdb.com/search/title/?title_type=tv_series","Minx","2022–2023","TV-MA","7.6","In 1970s Los Angeles, an earnest young feminist joins forces with a low-rent publisher to create the first erotic magazine for women.","https://m.media-amazon.com/images/M/MV5BZGQ1NzZlMmQtODYxNS00MDhhLTkyZGItZjQ1NGJkZmYxN2JkXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX190_CR0,2,190,281_.jpg","1213. Minx","https://www.imdb.com/title/tt11947418/?ref_=sr_t_1213","30m","Episodes18","https://www.imdb.com/title/tt11947418/episodes?ref_=tt_eps_sm","2"
"1708776894-39","https://www.imdb.com/search/title/?title_type=tv_series","Dark Matter","2015–2017","TV-14","7.5","In the dystopian 27th century, six people wake up on a deserted spaceship with no memory of who they are or what they're doing there. They reluctantly team up and set off to find answers with the help of a female android.","https://m.media-amazon.com/images/M/MV5BYjI5OGMxNzYtZmZiYS00NDI1LWI4NWMtOTZmNjY1MjMzZjExXkEyXkFqcGdeQXVyNTgxMjE3OTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg","1212. Dark Matter","https://www.imdb.com/title/tt4159076/?ref_=sr_t_1212","42m","Episodes39","https://www.imdb.com/title/tt4159076/episodes?ref_=tt_eps_sm","3"
"1708776900-40","https://www.imdb.com/search/title/?title_type=tv_series","Sliders","1995–2000","TV-PG","7.4","A boy genius and his comrades travel to different parallel universes, trying to find their way back home.","https://m.media-amazon.com/images/M/MV5BODFkNTI0MGYtNjgxOS00MTk3LWEwNTQtZDMzMGRmMmE2NDU2XkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_QL75_UY281_CR1,0,190,281_.jpg","1211. Sliders","https://www.imdb.com/title/tt0112167/?ref_=sr_t_1211","1h","Episodes87","https://www.imdb.com/title/tt0112167/episodes?ref_=tt_eps_sm","5"
"1708776907-41","https://www.imdb.com/search/title/?title_type=tv_series","Not Going Out","2006–","TV-MA","7.7","The mishaps of slacker Lee and the love of his life, Lucy along with their friends & family.","https://m.media-amazon.com/images/M/MV5BODhiOGU0NTctMDNhOC00MzNiLTg4ZDItZDc0Yjc3YWUyNzU3XkEyXkFqcGdeQXVyNTA4NzExMDg@._V1_QL75_UX190_CR0,2,190,281_.jpg","1210. Not Going Out","https://www.imdb.com/title/tt0862614/?ref_=sr_t_1210","30m","Episodes102","https://www.imdb.com/title/tt0862614/episodes?ref_=tt_eps_sm","13"
"1708776912-42","https://www.imdb.com/search/title/?title_type=tv_series","Kingdom","2012–","TV-MA","8.6","In ancient China, a young boy dreams of becoming the greatest general of the Qin Kingdom.","https://m.media-amazon.com/images/M/MV5BZjQzN2U4MDAtNDRjZi00MmEwLWIzZGQtZmQyYjI1ZDI4OWE5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX190_CR0,2,190,281_.jpg","1209. Kingdom","https://www.imdb.com/title/tt2404499/?ref_=sr_t_1209","25m","Episodes135","https://www.imdb.com/title/tt2404499/episodes?ref_=tt_eps_sm","5"
"1708776919-43","https://www.imdb.com/search/title/?title_type=tv_series","The Mindy Project","2012–2017","TV-14","7.5","A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.","https://m.media-amazon.com/images/M/MV5BMTQwNjgwOTczOF5BMl5BanBnXkFtZTcwMDQzOTEzOA@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1208. The Mindy Project","https://www.imdb.com/title/tt2211129/?ref_=sr_t_1208","30m","Episodes117","https://www.imdb.com/title/tt2211129/episodes?ref_=tt_eps_sm","6"
