web-scraper-order,web-scraper-start-url,title,air_date,rating,score,description,image-src,link,link-href,length,episodes,episodes-href,seasons
"1708777818-169","https://www.imdb.com/search/title/?title_type=tv_series","Batwoman","2019–2022","TV-14","3.6","Batwoman seeks justice for Gotham City.","https://m.media-amazon.com/images/M/MV5BY2U3M2NkOGQtNzQ0Ny00NDkyLWIxNTItZTAzODk3OTQ3NDllXkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_QL75_UX190_CR0,2,190,281_.jpg","1080. Batwoman","https://www.imdb.com/title/tt8712204/?ref_=sr_t_1080","45m","Episodes51","https://www.imdb.com/title/tt8712204/episodes?ref_=tt_eps_sm","3"
"1708777823-170","https://www.imdb.com/search/title/?title_type=tv_series","Mushoku Tensei: Jobless Reincarnation","2021–","TV-14","8.3","A 34-year-old Japanese NEET is run over by a speeding truck and dies. Before he knows it, he is reborn as Rudeus Greyrat, and begins a new life full of adventure.","https://m.media-amazon.com/images/M/MV5BMGM2MzA5YzYtODc0Ni00ZjU4LWI4ZmUtZGJjNGU0ODY1MGJkXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg","1079. Mushoku Tensei: Jobless Reincarnation","https://www.imdb.com/title/tt13293588/?ref_=sr_t_1079","24m","Episodes37","https://www.imdb.com/title/tt13293588/episodes?ref_=tt_eps_sm","2"
"1708777829-171","https://www.imdb.com/search/title/?title_type=tv_series","Cruel Summer","2021–2023","TV-14","7.4","In this anthology series, each season follows a new cast of characters who deal with traumatic events over several timelines, and how those events impact their lives.","https://m.media-amazon.com/images/M/MV5BMjBlMDE1MWQtNmUyYi00MDY3LWFkNzItMmZiNTVjZjdiZjkzXkEyXkFqcGdeQXVyMTE0NzY5OTk5._V1_QL75_UY281_CR18,0,190,281_.jpg","1078. Cruel Summer","https://www.imdb.com/title/tt11083696/?ref_=sr_t_1078","45m","Episodes20","https://www.imdb.com/title/tt11083696/episodes?ref_=tt_eps_sm","2"
"1708777836-172","https://www.imdb.com/search/title/?title_type=tv_series","Heels","2021–2023","TV-MA","8.0","Two brothers and rivals - one a villain, or ""heel,"" in the ring; the other a hero, or ""face,"" war over their late father's wrestling promotion, vying for national attention in small-town Georgia.","https://m.media-amazon.com/images/M/MV5BZGYyYmVjYWMtYzAwZC00NzU2LTg5YzgtYjg2ODdmNTliZGUwXkEyXkFqcGdeQXVyMTMzOTQyOTk1._V1_QL75_UX190_CR0,2,190,281_.jpg","1077. Heels","https://www.imdb.com/title/tt6554240/?ref_=sr_t_1077","1h","Episodes16","https://www.imdb.com/title/tt6554240/episodes?ref_=tt_eps_sm","2"
"1708777842-173","https://www.imdb.com/search/title/?title_type=tv_series","Insecure","2016–2021","TV-MA","8.1","Follows the awkward experiences and racy tribulations of a modern-day African-American woman.","https://m.media-amazon.com/images/M/MV5BYmJlZGEyZDctZTA1Yy00MzExLTk0ZWMtMjgwNjAwMGU1ZjRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR18,0,190,281_.jpg","1076. Insecure","https://www.imdb.com/title/tt5024912/?ref_=sr_t_1076","30m","Episodes44","https://www.imdb.com/title/tt5024912/episodes?ref_=tt_eps_sm","5"
"1708777848-174","https://www.imdb.com/search/title/?title_type=tv_series","Deadpool","2013","TV-MA","5.3","Deadpool is hired and smitten by the enigmatically psychotic Typhoid Mary. But who is his target?","https://m.media-amazon.com/images/M/MV5BOWNhMGFjZjAtMDQ0Yi00MjMxLTkwYjgtMjc4MzE3NDQ2NzExXkEyXkFqcGdeQXVyNTA0OTU0OTQ@._V1_QL75_UY281_CR2,0,190,281_.jpg","1075. Deadpool","https://www.imdb.com/title/tt2622240/?ref_=sr_t_1075","11m","Episodes3","https://www.imdb.com/title/tt2622240/episodes?ref_=tt_eps_sm","1"
"1708777853-175","https://www.imdb.com/search/title/?title_type=tv_series","Kaala Paani","2023–","TV-MA","8.0","When a mysterious illness descends upon the Andaman and Nicobar Islands, a desperate fight for survival collides with a race to find a cure.","https://m.media-amazon.com/images/M/MV5BNWQ3MDdkNGItMzNkMy00MDkwLWIwNzYtYzIxNzBhYWUyOGZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR4,0,190,281_.jpg","1074. Kaala Paani","https://www.imdb.com/title/tt19072562/?ref_=sr_t_1074","1h","Episodes8","https://www.imdb.com/title/tt19072562/episodes?ref_=tt_eps_sm","2"
"1708777859-176","https://www.imdb.com/search/title/?title_type=tv_series","The Bequeathed","2024","TV-MA","6.4","A story in which ominous things continue and the secrets of the family are revealed as they suddenly inherit the family mountain from their uncle, whom they had forgotten.","https://m.media-amazon.com/images/M/MV5BMTc5MmM3ZTQtOGI5Mi00MzcwLWEwZTEtOWU5NTg5MzlmMGNjXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_QL75_UX190_CR0,0,190,281_.jpg","1073. The Bequeathed","https://www.imdb.com/title/tt28225048/?ref_=sr_t_1073","50m","Episodes6","https://www.imdb.com/title/tt28225048/episodes?ref_=tt_eps_sm","1"
"1708777864-177","https://www.imdb.com/search/title/?title_type=tv_series","Establishment: Osman","2019–","TV-14","7.6","The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire.","https://m.media-amazon.com/images/M/MV5BYzgwZmIwZDktNTBjYi00NWUyLTljMzAtOTYxZDgwNzgyMjYxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UX190_CR0,30,190,281_.jpg","1072. Establishment: Osman","https://www.imdb.com/title/tt11093718/?ref_=sr_t_1072","2h","Episodes149","https://www.imdb.com/title/tt11093718/episodes?ref_=tt_eps_sm","5"
"1708777870-178","https://www.imdb.com/search/title/?title_type=tv_series","The Empress","2022–","TV-MA","7.8","Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.","https://m.media-amazon.com/images/M/MV5BNmNhZDE5ODctOGE2Mi00NGVkLTkwN2EtMGRjMjkxMzYyZjczXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_QL75_UX190_CR0,0,190,281_.jpg","1071. The Empress","https://www.imdb.com/title/tt13720112/?ref_=sr_t_1071","55m","Episodes7","https://www.imdb.com/title/tt13720112/episodes?ref_=tt_eps_sm","2"
"1708777876-179","https://www.imdb.com/search/title/?title_type=tv_series","Mob Psycho 100","2016–2022","TV-14","8.6","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","https://m.media-amazon.com/images/M/MV5BYWIwZjhkMzgtOWExYi00ZGIwLTg1ZTktNjQyZWIxYWFmZTc0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg","1070. Mob Psycho 100","https://www.imdb.com/title/tt5897304/?ref_=sr_t_1070","24m","Episodes37","https://www.imdb.com/title/tt5897304/episodes?ref_=tt_eps_sm","3"
"1708777882-180","https://www.imdb.com/search/title/?title_type=tv_series","Falling Skies","2011–2015","TV-14","7.1","Survivors of an alien attack on earth gather together to fight for their lives and fight back.","https://m.media-amazon.com/images/M/MV5BNTMwNGNiZjktMTRmMi00YTM1LTllYjctOWU0ZjU2Y2JjZDA1XkEyXkFqcGdeQXVyOTQxNzM2MjY@._V1_QL75_UY281_CR9,0,190,281_.jpg","1069. Falling Skies","https://www.imdb.com/title/tt1462059/?ref_=sr_t_1069","42m","Episodes52","https://www.imdb.com/title/tt1462059/episodes?ref_=tt_eps_sm","5"
"1708777888-181","https://www.imdb.com/search/title/?title_type=tv_series","Mannix","1967–1975","TV-PG","7.4","Mannix worked originally for Wickersham at Intertect and then struck out on his own, assisted by Peggy Fair (whose cop-husband had been killed) and Police Department contact Tobias.","https://m.media-amazon.com/images/M/MV5BMTM2NDgzOTg3N15BMl5BanBnXkFtZTcwNzg1NjQ2NQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg","1068. Mannix","https://www.imdb.com/title/tt0061277/?ref_=sr_t_1068","1h","Episodes194","https://www.imdb.com/title/tt0061277/episodes?ref_=tt_eps_sm","8"
"1708777894-182","https://www.imdb.com/search/title/?title_type=tv_series","The software devLOVEper","2020–","","7.3","A group of four people including Shannu work in a software company when a new girl, Vaishnavi, joins their team. Shannu falls in love with Vaishnavi and tries to spend time with her but she treats him like a friend.","https://m.media-amazon.com/images/M/MV5BZDc1ZTEyODMtZTQ1Zi00NjcwLThmZDYtYmEzMDM4OTczYzZjXkEyXkFqcGdeQXVyMTIzNTE3NzQ1._V1_QL75_UY281_CR155,0,190,281_.jpg","1067. The software devLOVEper","https://www.imdb.com/title/tt13249204/?ref_=sr_t_1067","","Episodes11","https://www.imdb.com/title/tt13249204/episodes?ref_=tt_eps_sm","Unknown"
"1708777900-183","https://www.imdb.com/search/title/?title_type=tv_series","Highlander","1992–1998","TV-14","7.2","Duncan MacLeod is Immortal, and must live in modern society, concealing his true nature while fighting other Immortals.","https://m.media-amazon.com/images/M/MV5BZWE5NDJjYTAtMWZlNS00NTAxLWE3MmQtYTVmYzExYmZiNzc1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg","1066. Highlander","https://www.imdb.com/title/tt0103442/?ref_=sr_t_1066","1h","Episodes119","https://www.imdb.com/title/tt0103442/episodes?ref_=tt_eps_sm","6"
"1708777906-184","https://www.imdb.com/search/title/?title_type=tv_series","Sneaky Pete","2015–2019","TV-MA","8.0","A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate Pete, and reuniting with Pete's estranged family, which threatens to drag him into a world just as dangerous as the one he's escaping.","https://m.media-amazon.com/images/M/MV5BMTc2OTExNDE3MF5BMl5BanBnXkFtZTgwMzk2MjU5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg","1065. Sneaky Pete","https://www.imdb.com/title/tt5011816/?ref_=sr_t_1065","1h","Episodes30","https://www.imdb.com/title/tt5011816/episodes?ref_=tt_eps_sm","3"
"1708777911-185","https://www.imdb.com/search/title/?title_type=tv_series","The Dragon Prince","2018–","TV-Y7","8.3","Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","https://m.media-amazon.com/images/M/MV5BZTc4ZGNkNjItMDk4MC00Mjk1LWJhNzktYTA0OGFjMzJiMjMxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","1064. The Dragon Prince","https://www.imdb.com/title/tt8688814/?ref_=sr_t_1064","26m","Episodes46","https://www.imdb.com/title/tt8688814/episodes?ref_=tt_eps_sm","6"
"1708777917-186","https://www.imdb.com/search/title/?title_type=tv_series","American Rust","2021–2024","TV-MA","7.3","A compelling family drama that explores the tattered American dream through the eyes of complicated and compromised Chief of Police Del Harris in a Rust Belt town in southwest Pennsylvania.","https://m.media-amazon.com/images/M/MV5BNmM0YjYwZjMtMGJkOS00NWY3LWJjNjktYWYwZTU2NzAwNWZiXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_QL75_UX190_CR0,2,190,281_.jpg","1063. American Rust","https://www.imdb.com/title/tt1532495/?ref_=sr_t_1063","1h","Episodes19","https://www.imdb.com/title/tt1532495/episodes?ref_=tt_eps_sm","2"
"1708777923-187","https://www.imdb.com/search/title/?title_type=tv_series","Younger","2015–2021","TV-14","7.8","After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old.","https://m.media-amazon.com/images/M/MV5BMWE0YmQ1NTAtYjAyMi00MTM4LWFmMTItYzA2ODU0NWUwZTczXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UY281_CR1,0,190,281_.jpg","1062. Younger","https://www.imdb.com/title/tt3288518/?ref_=sr_t_1062","22m","Episodes84","https://www.imdb.com/title/tt3288518/episodes?ref_=tt_eps_sm","7"
"1708777930-188","https://www.imdb.com/search/title/?title_type=tv_series","Covert Affairs","2010–2014","TV-PG","7.3","Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent.","https://m.media-amazon.com/images/M/MV5BMTM3Nzk5Njc3M15BMl5BanBnXkFtZTcwMTUxNzc4Nw@@._V1_QL75_UY281_CR10,0,190,281_.jpg","1061. Covert Affairs","https://www.imdb.com/title/tt1495708/?ref_=sr_t_1061","1h","Episodes75","https://www.imdb.com/title/tt1495708/episodes?ref_=tt_eps_sm","5"
"1708777935-189","https://www.imdb.com/search/title/?title_type=tv_series","True Beauty","2020–2021","TV-Y","8.0","After being bullied and discriminated because of her ugly looks, a high school girl transforms herself into a gorgeous ""goddess"" and quickly rises to fame after mastering the art of makeup via online tutorial videos.","https://m.media-amazon.com/images/M/MV5BNjk3NDk3MDEtMTU2OS00NTFiLWJkOWMtYTA2YjJlMTMyYTk1XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_QL75_UY281_CR4,0,190,281_.jpg","1060. True Beauty","https://www.imdb.com/title/tt13274038/?ref_=sr_t_1060","1h 10m","Episodes16","https://www.imdb.com/title/tt13274038/episodes?ref_=tt_eps_sm","1"
"1708777943-190","https://www.imdb.com/search/title/?title_type=tv_series","Poacher","2023–","","6.7","A group of Indian Forest Service officers, NGO workers, police constables and Good Samaritans risk their lives trying to track down the biggest elephant ivory poachers in the history of India and bring them to justice.","https://m.media-amazon.com/images/M/MV5BNmRkMWNkNzUtNDFhNy00YjJiLThkYjMtMjBiODU4NzAyODY2XkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_QL75_UY281_CR18,0,190,281_.jpg","1059. Poacher","https://www.imdb.com/title/tt24364990/?ref_=sr_t_1059","","Episodes8","https://www.imdb.com/title/tt24364990/episodes?ref_=tt_eps_sm","1"
